album_name,listeners,playcount,total_tracks,avg_duration_sec,raw_tags,tag_instrumental,tag_orchestral,tag_electronic,tag_ambient,tag_dark,tag_acoustic,tag_epic,tag_relaxing,n_tags,title,metascore,genres,releaseDate,release_year,score_category,is_high_score,log_listeners
The Legend of Zelda: Skyward Sword Original Soundtrack,111,6603,,,,0,0,0,0,0,0,0,0,0,The Legend of Zelda: Skyward Sword,93.0,Open-World Action,2011-11-20,2011.0,Universal (90+),1,4.718498871295094
Mass Effect 3 (Original Soundtrack),54195,530551,23.0,152.4,soundtrack|instrumental|epic|ambient|post-rock,1,0,0,1,0,0,1,0,5,Mass Effect 3,93.0,Action RPG,2012-03-06,2012.0,Universal (90+),1,10.900362383966321
Viewtiful Joe Original Soundtrack,12,621,,,,0,0,0,0,0,0,0,0,0,Viewtiful Joe,93.0,2D Beat-'Em-Up,2003-10-07,2003.0,Universal (90+),1,2.5649493574615367
Hades: Original Soundtrack,153862,4110920,30.0,300.3,personal favourites|soundtrack|instrumental|metal|trip-hop,1,0,0,0,0,0,0,0,5,Hades,93.0,Action RPG,2020-09-17,2020.0,Universal (90+),1,11.943817875067996
Gears of War 2 (Original Soundtrack),4217,56934,27.0,,,0,0,0,0,0,0,0,0,0,Gears of War 2,93.0,Third Person Shooter,2008-11-07,2008.0,Universal (90+),1,8.34711636103872
NBA 2K13 Original Soundtrack,11,37,,,,0,0,0,0,0,0,0,0,0,NBA 2K1,93.0,Basketball Sim,2000-11-01,2000.0,Universal (90+),1,2.4849066497880004
Inside Llewyn Davis: Original Soundtrack Recording,54413,465819,,,folk|soundtrack,0,0,0,0,0,1,0,0,2,INSIDE,93.0,2D Platformer,2016-06-29,2016.0,Universal (90+),1,10.904376752675622
Resident Evil 4 Original Soundtrack,48,1377,80.0,148.7,,0,0,0,0,0,0,0,0,0,Resident Evil 4,93.0,Survival,2023-03-24,2023.0,Universal (90+),1,3.8918202981106265
Uncharted 4: A Thief's End (Original Soundtrack),62117,637014,24.0,175.6,soundtrack|instrumental|video game|holy shit this song|marvel,1,0,0,0,0,0,0,0,5,Uncharted 4: A Thief's End,93.0,Linear Action Adventure,2016-05-10,2016.0,Universal (90+),1,11.036791080994169
Paper Mario Original Soundtrack,43,3021,,,,0,0,0,0,0,0,0,0,0,Paper Mario,93.0,JRPG,2001-02-05,2001.0,Universal (90+),1,3.784189633918261
